,semtype_code,semtype_num,semtype_name,group_code,group_name,count,count_emotion,count_sadness,count_joy,count_fear,count_anger,count_surprise,count_disgust,count_trust,count_anticipation,count_confusion,count_denial
41,npop,T070,Natural Phenomenon or Process,PHEN,Phenomena,7.0,20.0,2.0,,7.0,1.0,,1.0,,3.0,5.0,1.0
42,ocac,T057,Occupational Activity,ACTI,Activities & Behaviors,4.0,9.0,2.0,,3.0,1.0,,,,1.0,,2.0
43,orga,T032,Organism Attribute,PHYS,Physiology,10.0,19.0,4.0,,5.0,,5.0,1.0,,3.0,1.0,
44,orgf,T040,Organism Function,PHYS,Physiology,36.0,36.0,5.0,2.0,14.0,,2.0,1.0,1.0,7.0,3.0,1.0
45,orgt,T092,Organization,ORGA,Organizations,,1.0,1.0,,,,,,,,,
46,ortf,T042,Organ or Tissue Function,PHYS,Physiology,5.0,6.0,2.0,,,1.0,1.0,1.0,,,1.0,
47,patf,T046,Pathologic Function,DISO,Disorders,58.0,55.0,5.0,,20.0,1.0,5.0,3.0,3.0,2.0,14.0,2.0
48,phpr,T067,Phenomenon or Process,PHEN,Phenomena,5.0,9.0,3.0,,2.0,1.0,2.0,,,,1.0,
49,phsf,T039,Physiologic Function,PHYS,Physiology,4.0,6.0,2.0,,2.0,,,,,1.0,1.0,
50,phsu,T121,Pharmacologic Substance,CHEM,Chemicals & Drugs,82.0,133.0,26.0,4.0,39.0,9.0,5.0,7.0,5.0,5.0,18.0,15.0
51,podg,T101,Patient or Disabled Group,LIVB,Living Beings,5.0,12.0,4.0,,3.0,1.0,2.0,1.0,,,1.0,
52,popg,T098,Population Group,LIVB,Living Beings,6.0,19.0,5.0,,2.0,1.0,3.0,,,3.0,1.0,4.0
53,prog,T097,Professional or Occupational Group,LIVB,Living Beings,9.0,40.0,5.0,,3.0,5.0,2.0,,1.0,2.0,9.0,13.0
54,qlco,T080,Qualitative Concept,CONC,Concepts & Ideas,95.0,236.0,43.0,3.0,50.0,16.0,9.0,6.0,2.0,23.0,53.0,31.0
55,sbst,T167,Substance,OBJC,Objects,6.0,12.0,1.0,,3.0,,,,,4.0,2.0,2.0
56,socb,T054,Social Behavior,ACTI,Activities & Behaviors,1.0,4.0,2.0,1.0,1.0,,,,,,,
57,sosy,T184,Sign or Symptom,DISO,Disorders,163.0,266.0,63.0,,99.0,13.0,3.0,10.0,1.0,23.0,33.0,21.0
58,spco,T082,Spatial Concept,CONC,Concepts & Ideas,26.0,88.0,15.0,1.0,26.0,4.0,2.0,6.0,,7.0,20.0,7.0
59,tisu,T024,Tissue,ANAT,Anatomy,5.0,6.0,,,2.0,,1.0,,1.0,2.0,,
60,tmco,T079,Temporal Concept,CONC,Concepts & Ideas,59.0,178.0,29.0,5.0,45.0,9.0,10.0,2.0,,18.0,35.0,25.0
61,topp,T061,Therapeutic or Preventive Procedure,PROC,Procedures,59.0,102.0,14.0,3.0,23.0,6.0,9.0,2.0,1.0,14.0,16.0,14.0
62,virs,T005,Virus,LIVB,Living Beings,11.0,10.0,4.0,,3.0,1.0,,,,1.0,1.0,
63,vita,T127,Vitamin,CHEM,Chemicals & Drugs,,5.0,,,1.0,3.0,,,,,1.0,
