,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
11,2368193,Any one out there have PCOS?,"I have PCOS, with endometrial hyperplasia, I have been taking progestrin pills every 2-3 cycles for 7 days, then in jan. my cycles became normal, in april and may and june I havent had a cycle, and now I am having alot of pain, feels like bees stinging me inside, I dont have $ to go to the Dr. Should I be worried, or should I just take my cyle of progestrin pills? Doctors, nurses, anyone with PCOS, give me some tips ( recently lost my insurance when my husband left)",You never know what medications are doing to you. All have side effects. A year ago everyone thought that Vioxx was safe but it was killing people. Site below has info on helping pcos with diet.,PCOS,,Female,,recently lost my insurance when my husband left,lost my insurance,,,Should I be worried,PCOS,,,,,,,,,,,"I have been taking progestrin pills every 2-3 cycles for 7 days, then in jan. my cycles became normal, in april and may and june I havent had a cycle, and now I am having alot of pain, feels like bees stinging me inside.",PCOS,,,,,Yes: should I just take my cyle of progestrin pills? ,Yes:  Should I be worried,Yes: Any one out there have PCOS?,,,,Yes: You never know what medications are doing to you. ,,,
12,1206952,painless lump beside my belly button..?,"A few months ago, I went through this phase where i could do over 200 crunches in 10 minutes. One night, I noticed a small lump beside my belly button, and it freaked me out. It doesnt hurt, i haven't been sick, and i wouldnt know its there until i felt it, but it still bothers me. I've poked at it for a couple of months, and now it sometimes feels like my fallopan tubes are swollen, or something like that. Again, nothing hurts at all. I can't feel the lump/swollenness until i lay down, and sometimes its larger or smaller. It just depends. I havent gone to a doctor, and maybe there's some other way i can treat it?  I haven't been sick at all, and again, nothing hurts. It just feels like a lump and/or something is swollen. ive been told its a hernia, and/or appendicitis. But, My research shows that both involve pain and sickness. I haven't experienced either, so im not sure what it is.","I believe you are correct when you said it may be a hernia.
It seems like a fairly small hernia so the pain is not there...yet.
It gets larger and smaller due to your ""insides"" coming out...it certainly sounds like a hernia to me....I had one many years ago, a much larger one that involved pain.

If I was you I would see a doctor...repairing a hernia(especially a small one) is not that big of a deal...Good Luck.",painless lump beside my belly button,,,,,,,,"One night, I noticed a small lump beside my belly button, and it freaked me out.",painless lump beside my belly button,,,,,but it still bothers me.  ,painless lump beside my belly button,,,,," ive been told its a hernia, and/or appendicitis. But, My research shows that both involve pain and sickness. I haven't experienced either, so im not sure what it is.",painless lump beside my belly button,,,,,Yes: maybe there's some other way i can treat it?,,"Yes: My research shows that both involve pain and sickness. I haven't experienced either, so im not sure what it is.",,,,Yes: I believe you are correct when you said it may be a hernia.,,,
13,2033236,New to injecting insulin for diabetes. Help please!?,"I'm new to injecting Lantus for my type 2 diabetes. I have been taking it at bedtime (10 units) for about a month now. I have had 3-4 blood sugar readings for 70 or under when it was time for the injection. I went ahead and injected anyway, but my sugars dropped low to 40-50, so I'd have to eat cheese and crackers and drink orange juice quickly to bring the numbers back up. Should I skip the injection if my numbers are that low? My own Dr said no, but....dropping to 40 was scarey for me and my family. I'm a single mom, and its just me and my daughter (who is 8) in the home, and getting too low scares BOTH of us. Any suggestions? If you need more details, just ask. We eat dinner around 6, I take the lantus around 10:30. So, I don't know if I should have a small snack between or what. Thanks in advance for all responses!","You should always eat something, or drink some OJ, when you take your insulin.  If you continue to have such low numbers, and your doctor doesn't do anything, get another opinion.  Your blood sugar level should never go that low.  Also make sure that your glucometer is properly calibrated.

As far as snacks go, the best thing to do IS to have small snacks between your meals and before bed.  That keeps your metabolism going.  Try a couple pretzels and a piece of cheese, or some apple and peanut butter.  Always make sure that you eat protein when you eat carbs.  The protein keeps you from spiking your blood sugar.",njecting insulin for diabetes,,Male,,,,,,but....dropping to 40 was scarey for me and my family,injecting insulin for diabetes.,,,,,,,,,,, I don't know if I should have a small snack between or what.,injecting insulin for diabetes.,Should I skip the injection if my numbers are that low? My own Dr said no,injecting insulin for diabetes.,,,Yes:  should have a small snack between or what. ; Should I skip the injection if my numbers are that low?,"Yes: I'm a single mom, and its just me and my daughter (who is 8) in the home, and getting too low scares BOTH of us.",,,,,Other: ,,,
15,2107751,Nausea... medications // helpful remedies?,"I've been taking Augmenten and Percoset to help with pleurisy, which I developed about 6 days ago. I've been taking the medication as regularly as I should, but it makes me feel nauseous often and I've thrown up three times in these 6 days. Is it the Percoset? I've had Augmenten before and never got sick from it, but that doesn't mean it couldn't happen. Any suggestions on how to relieve the nausea or any helpful advice about the pleurisy? Thanks guys. <3M","Ask your doctor if he/she can prescribe you phenergen, to help with the nausea and vomiting which, by the way, is a common side affect to both of those medications. 

I'm really sorry about the pleurisy it can be extremely painful. If you are experiencing any ittching that is sometimes associated with it then you could take OTC Benadryl and that would serve double duty as it would not only help the itching, but also the nausea. 

As always, consult your physician and pharmacist before talking any medications, and I wish you the best.

---------------------------------
Edit:
Regarding the latter posters and allergic reactions:
It's a common misconception that nausea and vomiting is a sign of an allergic reaction, it's not, it's a normal however undesirable side effect of the drug. Most drugs have such side effects along with headache, dizzyness and somnolence. Allergic reactions are caused when the body's  immune system attacks a normally harmless substance (the allergen). The immune system calls upon a protective antibody called immunoglobulin E or IgE to fight these invading substances. The large IgE release ends up causing mast cells to be injured or irritated and they release a variety of strong chemicals, including histamine, into the tissues and blood. This causes the itching, swelling, and fluid leaking from nearby cells. These chemicals cause the familiar signs of an allergic reaction that we all recognize,  itching, airway and throat tightening, hay fever and allergic rhinitis to name just a few.",Nausea,,,,,,,,,,,,,,,,,,,," Is it the Percoset? I've had Augmenten before and never got sick from it, but that doesn't mean it couldn't happen.",taking Augmenten and Percoset ,,,,,Yes: Any suggestions on how to relieve the nausea or any helpful advice about the pleurisy?,,,,,,Yes: I'm really sorry about the pleurisy it can be extremely painful.,,,
16,4110851,"I recently had a miscarriage, my doc says that everything seems okay.  Why am I still bleeding?","I passed the placenta and ""remains"" (for lack of a better word) about a week or more ago.  I stopped bleeding about two days ago.  Today I had a check up with my gyno - he didn't do a pap smear, he just checked to see if my cervix had closed, and it had.  However, once I got home, I noticed that I was bleeding again.  Is this my cycle starting again, or what?  Please if there's anyone who has experienced this please help me out.","how far along were you in the pregnancy? With a D & C i was bleeding for more than 4 weeks ,so when a miscarriage happens naturally it might be longer. An exam from the doctor shouldn't cause bleeding more than a pad could handle, however you are probably still bleeding from the miscarriage. I was told by a nurse that if the bleeding is very abnormal or not decreasing over the period to give them a call. Either ways, check with your doctor again just to make sure. I am sorry for your loss. There is hope, god decides the right time for us.good luck.",miscarriage,,Female,,,,,,"I recently had a miscarriage, my doc says that everything seems okay.  Why am I still bleeding?",recently had a miscarriage,,,,,,,,,,,"However, once I got home, I noticed that I was bleeding again.  Is this my cycle starting again, or what? ",recently had a miscarriage,,,,,"Yes: Why am I still bleeding? ; Is this my cycle starting again, or what?",Yes: Please if there's anyone who has experienced this please help me out.,,,,,"Yes: I am sorry for your loss. There is hope, god decides the right time for us.good luck.",,,
17,1996908,I have been morbidly obese over 50 years.  I am 63.  I am 5'6 and weigh 312.?,"I am not willing to try a low card diet like adkins.  My question is :  would going from my current 3200 cal. a day to 2400 a day be of any use?  I think the theory is that I would lose some weight this way.  I am confined to a wheelchair with back problems and arthritis.  I am diabetic and it is in poor control  I have congestive heart failure and high blood presure and higl chorestral.  I am bipolar..
Practical advice please from medical professional or a person who has any of these problems.","Yes, any cut in calories would help",lose some weight,55-64 years old,,,I am confined to a wheelchair with back problems and arthritis. ,morbidly obese,,,,,,,,,,,,,,,,,,,,,Yes: Practical advice please from medical professional or a person who has any of these problems.,,Yes: would going from my current 3200 cal. a day to 2400 a day be of any use?,,,,No,,,
18,765460,Light brown spotting for more than 4 days after period.?,"I had a very light period that came late, and a few days later i'm spotting. It started like discharge and everyday became lighter now it's a light brown, and I only spot like once a day. I'm not on the pill, and all preg. tests were neg... I have frequent headaches, but no other pains anywhere. I have a doc apt tomorrow. I've never had an abortion, or problems with my period. 
I'm 21 and don't have any children. This has never happened to me, Do any of these problems that you mention happen if you're a virgin? Or only if you've had intercourse?",Actually spotting between periods can be nothing or it could be something wrong. I did this for years and didn't think anything about it. It happened when I was a virgin and when I wasn't. Sometimes it would be for one day sometimes it would go up to 2 weeks. When I got married we wanted to try right away for a baby (I was 21 by the way) and I couldn't get pregnant. After 3 years of trying we found out I had a disease called PCOS and that was what was causing the spotting. Also if you do get pregnant there is a 40% chance of losing the baby before 3 months which is a very high rate. So I do recommend you getting checked just to be sure. There are meds for almost any reproductive problem and it is good to start early on if you plan on having children in the future so your body is regulated.,Light brown spotting for more than 4 days after period,18-24 years old,Female,,,,,,,,,,,,,,,,,,This has never happened to me.,Light brown spotting for more than 4 days after period,,,,,Yes: Do any of these problems that you mention happen if you're a virgin? Or only if you've had intercourse?,Yes: I have a doc apt tomorrow. ,,,,,Yes: Actually spotting between periods can be nothing or it could be something wrong. I did this for years and didn't think anything about it. It happened when I was a virgin and when I wasn't. Sometimes it would be for one day sometimes it would go up to 2 weeks.,,,
20,2152672,Another ingrown toenail?,"I have another question about ingrown toenails. I have had one for about a week and a half or so. I soaked with w/warm saltwater, put peroxide on it, and put anitbiotic cream on it. A few days ago, i was able to see the ingrown nail and I clipped it. The toe felt great, then I thought I didnt get it all out. The very tip corner of my toe (where to ingrown toenail is/was) is very sensitive to the touch of anything. It hurts really bad if my sock brushes agaist it. I called me doc and they will not do the nail cutting procedure in the office, they told me I have to go to a specialist (podiatrist). A specialist with my insurance is really expensive and I dont have much extra money. What can I do to lessen the tenderness and pain of the tip of my toe? The very tip is the only place it hurts, the sides seem they are not swollen anymore, just red. Any suggestions on how to see if a piece is stuck in there still w/o the terrible pain? Anthing that totally numbs it or anything?","well, its very hard to die from an ingrown toenail... to say that first.
keep the area clean, and allow a lot of fresh air to get to it. you can use all kinds of antiseptics to clean it, some of them even include procainamide (allergy?) that sets down the pain (one brand is called baktine, you can buy it at cvs). if you still have that much pain, there is probably still some nail in there penetrating your tissue = infection + pain. if that's the case it wont go away by itself. you have two options to get it out of there: go to the specialist who is expensive, or go to any general surgeon who will cut out a ""triangle"" on the left/right side of your toe nail (painful at first, but also works).",ingrown toenails,,,,A specialist with my insurance is really expensive and I dont have much extra money.,ingrown toenail,"A few days ago, i was able to see the ingrown nail and I clipped it. The toe felt great, then I thought I didnt get it all out. ",ingrown toenail,,,,,,,It hurts really bad if my sock brushes agaist it.,ingrown toenail,,,,,,,,,,,Yes: Any suggestions on how to see if a piece is stuck in there still w/o the terrible pain? Anthing that totally numbs it or anything?,,,,,,"Yes: well, its very hard to die from an ingrown toenail... to say that first.",,,
21,348581,what kind of disease is this?,"Hi 
  i m 22,172 cm height&50 kg.i feel too skinny.i hav asymetric pectus excavatum(PE).my doctor said weight management is not depent on PE. 
        last 3 years i havn't any kind of growth in my weight.i want increse my weght.last month i took 2000 extra colores from nuts per each day.but it makes only some pus pimple.
     last 6 years i was affected by pimple.
     hair growth in hand,face&body is realy weak and my teeth also bleeding.
       
i feel the above all  depand each other.somthing big behind PE,pimple,skinny &blood bleeding.
       any disease had such a symptoms??????or are these the hormon disease?
       last 3 month my docter doing ,getting money & give some tablets.no more i can  wait ...
    plzzzzzzz reply me if u r a docter or good adviser","Conditions associated with pectus excavatum include Marfan syndrome, Poland syndrome, and Pouter pigeon breast:

Marfan syndrome

The Marfan syndrome is a connective tissue disorder. Connective tissue provides substance and support to tendons, ligaments, blood vessel walls, cartilage, heart valves and many other structures. In the Marfan syndrome, the chemical makeup of the connective tissue isn't normal. As a result, many of these structures aren't as stiff as they should be.

The Marfan syndrome is inherited and affects many parts of the body. There's no single conclusive test for diagnosing it, but people who have it often have many similar traits. Besides perhaps having heart problems, people with the Marfan syndrome are often tall and thin. They also may have slender, tapering fingers, long arms and legs, curvature of the spine and eye problems. Sometimes the Marfan syndrome is so mild that few (if any) symptoms exist. In the most severe cases, which are rare, life-threatening problems may occur at any age.

Poland syndrome

Poland syndrome consists of a deficiency of subcutaneous fat and muscles on one side of the body. It may include underdevelopment of the arm, hand, and fingers on the same side, and may be associated with other conditions such as Moebius syndrome or Klippel-Feil syndrome. The right side of the body is affected twice as often as the left.

It is difficult to determine how many individuals are affected by Poland syndrome, since mild cases may go unnoticed or be misdiagnosed. One study estimated that it may occur in 1 in 30,000 individuals. Poland syndrome does seem to affect males more commonly than females.

Symptoms
Poland syndrome has several distinctive symptoms:

    * Chest muscle deformities - absence of the pectoralis minor and the breastbone part of the pectoralis major
    * Undedevelopment or absence of breast or nipple on the affected side
    * Patchy absence of hair under the arm on the affected side 

Additional symptoms on the affected side may include:

    * Underdeveloped or missing ribs
    * Underdeveloped arm, hand, and fingers
    * Abnormally short, webbed fingers
    * Small, elevated scapula (shoulder bone), called Sprengel deformity",increse my weght.,,,,last 3 years i havn't any kind of growth in my weight.,weight,,,,,"last 3 month my docter doing ,getting money & give some tablets.no more i can  wait ...",my docter,,,,,,,,, but it makes only some pus pimple. ~~~,2000 extra colores from nuts per each day,my doctor said weight management is not depent on PE.,my docter,,,Yes: any disease had such a symptoms??????or are these the hormon disease?,,,,,,Other: NA,,,
22,273369,Is it true the human papilloma virus that can cause cervical cancer is an STD?,"My sister says that everytime she see's one of those commercials with HPV. She goes on and on about how if u haven't had sex there isn't even a problem, which would make me understand why people don't want their 12 year old daughters to get the vaccines for it...i mean, it's like providing a vaccine for syphilis and then saying, go ahead, now it doesn't matter...does it surprise anyone else? you'd think they'd mention that in one of their commercials, instead of letting tons of girls think they might have it!","I agree with you..HPV is an STD that you can get and not even know you have it. It is the most common STD. Yes, it is a huge cause of cervical cancer. Not to say that it is the only way to get it because no one knows what exactly causes cancer. Regular pap tests can prevent it from spreading to cancer and can catch it before it spreads.",human papilloma virus,,,,,,,,,,,,does it surprise anyone else? ,vaccine for syphilis,"you'd think they'd mention that in one of their commercials, instead of letting tons of girls think they might have it!",vaccine for syphilis,,,,,,,,,,,Yes: Is it true the human papilloma virus that can cause cervical cancer is an STD?,,Yes: does it surprise anyone else?,,,,Yes: I agree with you,,,
