,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
22,273369,Is it true the human papilloma virus that can cause cervical cancer is an STD?,"My sister says that everytime she see's one of those commercials with HPV. She goes on and on about how if u haven't had sex there isn't even a problem, which would make me understand why people don't want their 12 year old daughters to get the vaccines for it...i mean, it's like providing a vaccine for syphilis and then saying, go ahead, now it doesn't matter...does it surprise anyone else? you'd think they'd mention that in one of their commercials, instead of letting tons of girls think they might have it!","I agree with you..HPV is an STD that you can get and not even know you have it. It is the most common STD. Yes, it is a huge cause of cervical cancer. Not to say that it is the only way to get it because no one knows what exactly causes cancer. Regular pap tests can prevent it from spreading to cancer and can catch it before it spreads.",human papilloma virus,,,,,,,,,,,,does it surprise anyone else? ,vaccine for syphilis,"you'd think they'd mention that in one of their commercials, instead of letting tons of girls think they might have it!",vaccine for syphilis,,,,,,,,,,,Yes: Is it true the human papilloma virus that can cause cervical cancer is an STD?,,Yes: does it surprise anyone else?,,,,Yes: I agree with you,,,
24,2023686,What foods should I avoid eating with gallstones?,"I really want to avoid getting surgery.  Should I just place myself on a special diet, or will that not work and I'll still have inflammations?  I know that I eat really bad right now and that's the biggest reason I got them....I am starting a very low fat, healthy diet to combat it, but I want wondering what SPECIFIC foods I should avoid.  I've already chatted with the doc and just want some personal experience and recommendations.","Low fat, and no spicey foods.",gallstones,,,, I know that I eat really bad right now and that's the biggest reason I got them ,gallstones,,,,,,,,,,,,,,,,,,,,,Yes:  I want wondering what SPECIFIC foods I should avoid ; What foods should I avoid eating with gallstones?,,,,,,Other: ,,,
26,855886,medium Eczema problems?,"I'm pretty sure I have eczema but i'm not 100% sure. My doctor never really said that i have eczema but after looking at online pictures, i'm pretty sure that what i have matches eczema. 
anyways i want to know a easy way to help with my ezcema. i know its not curable yet. i want to learn some ways to calm/stop inflammations, stop itching, and keep it that way.
I have been precribed hydrocortisone valerate, fluroclucinde(sp?), mometasone furoate, and numerous ointments and creams. i heard these things have steriods and but i dont mind and use a lot anyways. it has gotten pretty bad; my face has a few signs of inflammation. it makes me look like i've been beaten up. i've started to use lotions but they irritate my skin even more. i've cut my nails but the urge to scratch is insane. i'm 15 years old and this has been a problem since about 8? last year, my skin was a bit better but this year is crazy. sometimes i would take super hot showers to calm it but i know you're not supposed too","My eight year old has exzema. It sucks. For natural cures, try a baby oil bath. Just make sure to scrub the tub when you are done! Pat your skin down when you get out of the shower and always moisturize. See if your parents will take you to a dermatologist. They are fairly inexpensive ( no insurance) and well worth it. ANY good skin cream during the day just read the label....make sure it hays no alcohol. 
Aveeno works really well for us. Good luck!!!",Eczema problems,12-17 years old,,,,,,,,,,,,,"
 i've cut my nails but the urge to scratch is insane.",eczema,,,,,"My doctor never really said that i have eczema but after looking at online pictures, i'm pretty sure that what i have matches eczema.",eczema,I'm pretty sure I have eczema but i'm not 100% sure.,eczema,,,"Yes:  i want to learn some ways to calm/stop inflammations, stop itching, and keep it that way.",,Yes: My doctor never really said that i have eczema,,,,Yes: My eight year old has exzema,,,
27,3424067,Does decompression for a degenrative / bulging disc really work?,"Hi I am asking this question only to people whom have tried decompression with good or bad results. Sorry but otherwise I get either bias answers or people who think they know it all from reading an article. So I really want to here from people who have actually experienced it and what there results are. If you could, I would like to know what it was you were treated for, but anything similar would be good. I am 21 and have MRI findings of degenerative disc disease at two levels with one bulging / herniated disc. I have slight leg pain and get bad muscle spasms if i try to be active at all. I've tried nearly every solution out there besides surgery so please do not tell me how else I can fix it, and sorry if I sound rude when I say that, but I am really just looking for people with experience. Last if you do have something that may be way out of the ordinary that you think would possibly help me with this problem, I am very open minded to trying knew things. Thanks for reading...","I also have ddd, cervical (neck), had surgery, fusion, metal plate & screws.   2 years later, 3 more herniated discs and have read, searched, asked, etc. for a solution.  I know, it's a miserable condition.  Google degenerative disc disease or herniated discs.  Some material says they may heal on their own (not my experience), but something I was informed about through this site but haven't tried is papaya injections. No, not making it up.  Also, google laser spine institute where you will find animated info that clearly demonstrates and explains what happens to the nerves, spinal chord and spine.  Good luck, I really feel for you.",decompression for a degenrative / bulging disc,18-24 years old,,,"I've tried nearly every solution out there besides surgery so please do not tell me how else I can fix it, and sorry if I sound rude when I say that, but I am really just looking for people with experience. ",degenerative disc disease,,,,,,,,,,,,,,,,,,,,,Yes: Does decompression for a degenrative / bulging disc really work?,,,,Yes: Hi I am asking this question only to people whom have tried decompression with good or bad results.,,"Yes: Good luck, I really feel for you.",,,
28,2053708,can people get sick from their sick dogs and cats?and then die[people]?,my 32 year old daughter died in jan.and her boyfriend has been in hospital for 1 mo.he was found after 1 week or 10 days.kidneys etc.shut down.he may have had a stroke or upset because our daughter.she had spot her outer thight and started growing and before she had a chance she couldn't walk and had pain in chest.before xmas she found out she had sarcoma cancer and it spread to her lungs and she was gone 1 mo later.the dogs were taken away by dog warden.probably put to sleep[dogs].daughter died also of lung cancer.she didn't smoke.but her boyfriend did.he may not make live very long.what do you think?,"You cannot catch diseases from cats and dogs, no just like they cannot catch them from us. Your daughter died because she was diagnosed with a certain kind of cancer that spread through her body. It sounds like your son in law is just basically dying of a broken heart. People do that, our minds are a powerful thing. If you tell yourself something long enough it is going to happen. He probably saw no reason to live anymore and his body started to shut down. 

Your daughter did not get the lung cancer from the dogs, it was from the sarcoma cancer that SPREAD to her lungs. Cancer does that. Skin cancer can do that. Any cancer can attack your vital organs. 

Why were the dogs taken away? Perhaps it was because the owners could no longer take care of them?

Let me tell you this..........8 years ago, Little Cat was diagnosed as being diabetic, he was a year old. I am borderline diabetic, my father is diabetic, BUT it isn't because of Little Cat it is because it runs in the family

I am sorry about your tragedy. I promise that the dogs were not the cause of the illnesses or deaths, you can't get cancer from dogs and it sounds like the other death was from a broken heart.",daughter died,,,,my 32 year old daughter died in jan.and her boyfriend has been in hospital for 1 mo,cancer,,,,,,,,,,,,,her boyfriend did.he may not make live very long,cancer,daughter died also of lung cancer.she didn't smoke.but her boyfriend did,can people get sick from their sick dogs and cats,,,,,Yes: can people get sick from their sick dogs and cats?and then die[people]?,,Yes: daughter died also of lung cancer.she didn't smoke.but her boyfriend did.he may not make live very long.what do you think?,,,,Other: ,,,
29,970856,Why  is there a crust inside and outside of my ear that I can't  clear up.?,"Everyday when I remove this crust/scales there is a sticky fluid underneath. I clean with a mild soap and apply antibiotic ointment before it dries into the crust again.  However, this cleaning routine is doing nothing to STOP this seeping fluid.  The sticky fluid seems to be seeping from the skin itself but that doesn't seem possible.  Logic says it would have to be coming from inside the ear. Every a.m. and during the day the outer ear, back of the ear, lobe and skin on the jaw and neck below the ear has some buildup where it appears fluid has touched the skin. I haven't experienced any pain or hearing loss but the skin itself is sensitive to the touch, cleaning it w/ Hydrogen proxide burns badly.  This all started a couple of months ago. I'm desperate to clear this up.  HELP!","You should see an otolaryngologist (ear, nose & throat specialist) for treatment and diagnosis of your problem",crust/scales,,,,I'm desperate to clear this up.,a crust inside and outside of my ear,,,"the skin itself is sensitive to the touch, cleaning it w/ Hydrogen proxide burns badly. ",a crust inside and outside of my ear,,,,,,,,,,," However, this cleaning routine is doing nothing to STOP this seeping fluid.",a crust inside and outside of my ear,,,,,Yes: Why  is there a crust inside and outside of my ear that I can't  clear up.?,,,,,,"Yes: You should see an otolaryngologist (ear, nose & throat specialist) for treatment and diagnosis of your problem",,,
36,3580886,Could i be pregnant and experiencing Implantation bleeding ?,"my husband and i have been TTC for 4 months i stopped the pill at this time also. I have a 28 day cylce usually and on my 17th day (day 1 being first day of period) i begun slight bleeding, it has gone from slight to a pretty normal but not heavy flow. i am now on my 20th day and it's slowing off but is still and has always been a light pinkish, no clots though. my husband and i had made love each night of days 9-11 and 12-15 could i be experiencing Implantation bleeding or is it just my monthlies come early?? any ideas, and could i test now?? :)","well, being as this is occuring in the middle of your cycle, I would venture to guess that it is absolutely possible!  Good luck!",Implantation bleeding,,Female,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes: Could i be pregnant and experiencing Implantation bleeding ?,,,,,,Other: ,,,
40,4334189,Is weight loss surgery healthy?,"That is the best way I have found to phrase this question.  I tried asking this question yesterday but I do not think I phrased it right so I did not get the answers I was looking for.

I am curious as to it being unhealthy compared to anorexia.  I understand that anorexia is a mental disorder.  I also understand that weight loss surgery is not.  But is the limited food intake comparable to anorexia?  I understand that a large person cannot be anorectic, because being anorectic involves having distorted image of ones self.  Isn't rapid weight loss a sign of anorexia?  And isn't the rapid weight loss a result of not being able to eat, either physically or emotionally, wouldn't that be considered anorexia also?

I am not trying to be disrespectful, I am just trying to understand this.  I have struggled with an eating disorder in the past, and I have  friends who  had weight loss surgery.  I see them acting the same ways as I have in the past.  I want to notice if something is wrong.","Weight Loss surgery is not healthy and it should only be used for the morbidly obese (in other words if they dont get the surgery they will die in five years). Too many people are getting the gastric bypass surgeries as an easy fix. And the doctors are eager to give them since they and the hospital makes big bucks. They say they council these men and women but they still offer them so much more that the fear is subdued.

Here is the problems with Weight Loss Surgery:
You could die on the table
You could die later from complications
You could die from malnourishment
You can have many illnesses from lack of nutition
You dont do well in pregnancy since it is hard for the baby to get 
      the nourishment it needs
Your stomach can stretch back out over time if you overeat
For a long time you can only eat a Tablespoon of food at a time
      eat more than that or rich food and you throw up. Many 
      surgery patients throw up alot.
You are on supplements the rest of your life
This surgery is irreversible, so if you dont like your life after
       you dont have a choice. No going back.
These patients lose all joy surrounding food (parties, dinner out)
This surgery is not natural for your body.

These are just a few reasons to find another way. Anorexia is not the answer either as it also has many health risks. The best way to lose weight is to eat less, exercise, eat more natural diet, and be happy (sadness and depression cause weight gain).

Hoodia is a good natural pill (derived from cactus in Africa) to supress the appetite to get the fat off. As the fat comes off you will naturally eat less and better. You can do Weight Watchers as it is the most tested of all plans and it works. Never try to lose more than 2-3 lbs per week or you will gain it back plus some. Slow is the best. Weight only once a week as that is the only time it is acurrate (water weight).
Then to keep it off, just do your weekly weight in and if it is up, cut back a little for the week.

Change you life, be healthy and remember weight is not gained in a day.",weight loss surgery.,,,,,,,,,,,,,,"I have struggled with an eating disorder in the past, and I have  friends who  had weight loss surgery.  I see them acting the same ways as I have in the past. ",weight loss surgery ,,,,," And isn't the rapid weight loss a result of not being able to eat, either physically or emotionally, wouldn't that be considered anorexia also?",weight loss surgery ,,,,,"Yes: But is the limited food intake comparable to anorexia?  I understand that a large person cannot be anorectic, because being anorectic involves having distorted image of ones self.  Isn't rapid weight loss a sign of anorexia?  And isn't the rapid weight loss a result of not being able to eat, either physically or emotionally, wouldn't that be considered anorexia also?",,,,,,Other: ,,,
42,4468255,Whiplash + Tempur Pedic= neck pain?,"I was in an accident & acquired some whiplash at the same time our Tempurpedic was delivered. It's been back & forth, but over a year & I can't relieve it. I've tried 6 different pillows w/ no luck. The doc says it's muscular, but I don't remember my 3rd vertibrae extruding before. Is it the mattress, habits, or what?! It hurts everyday & get's on my nerves. I'm more up for 'eastern' medicine, any thoughts?","have you seen a massage therapist? whiplash is just that the neck flexors have been injured. How long ago did it happened? if is recent you might want to rest, put some ice and maybe get a neck brace...but above all hopefully you have seen a doctor. Try going to a massage therapist, they could help you with the muscle problem and relieve some of that tension, if theres no swelling and irritation of the tissues. Just gentle reflexive work is indicated.
Peace",neck pain,,,,"It's been back & forth, but over a year & I can't relieve it. ",neck pain,,,,,,,,, It hurts everyday & get's on my nerves. ,neck pain,,,,," Is it the mattress, habits, or what? ",neck pain,"The doc says it's muscular, but I don't remember my 3rd vertibrae extruding before.",neck pain,,,"Yes: Is it the mattress, habits, or what?",,,,,,Other: ,,,
44,2110547,Does anyone know of a GOOD pyschiartist and therapist in the Southern New Hampshire area?,"I unfortunately live in Greenville NH i use to live in Nashua, NH and had an ok dr there from community counsel.  Well now im back in NH and living where i live i cant go there anymore they say. i have to go to another place that keeps passing me through to diff people that are suppose to call me back. I am a mother of a 13 month old who is bi-polar plus other things. I have been off my meds for a while. (long story) I am doing ok i guess for everything that is happening. but i need help quicker then 2 weeks plus anyone know of any? thanks","Yes. Caroline Morganne. do yo0u know where the christmas tree shop, khols, home depot, a new starbucks, and hannafords is? well it is the big light blue building near there. ask someone how to contact her. i go to her. she s very understanding.",GOOD pyschiartist and therapist,,Female,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes: Does anyone know of a GOOD pyschiartist and therapist in the Southern New Hampshire area?,,"Yes: Yes. Caroline Morganne. do yo0u know where the christmas tree shop, khols, home depot, a new starbucks, and hannafords is? well it is the big light blue building near there. ask someone how to contact her. i go to her. she s very understanding.",,,
