,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
153,4020945,diagnose with Bell's palsy.... now what?,"I went to the docs and they sd that I have Bell's Palsy... They gave me some meds Acyclovir, Erthromycin, and prednisone.. the prednisone has already been taken and  I dont have any  more left. Im blinking better... but the left side of my face hurts when i touch it..why is that? I thought its suppose to be numb?? and there is still pain in my ear area... :(. I think my case of Bell's Palsy isnt the worst...friends told me that they had it worst.. but what should i do since i dont have med. insurance and it still hurts.. im thinking of going to the ER...",None,Bell's palsy,,,,,,,,,,,,,,,,,,,,what should i do since i dont have med. insurance and it still hurts.. im thinking of going to the ER..,diagnose with Bell's palsy,,,,,Yes: why is that? I thought its suppose to be numb?? ,Yes: what should i do since i dont have med. insurance and it still hurts.. im thinking of going to the ER...,,,,,No,,,
154,1820508,Atavan and Methadone: Former cancer patient is having memory loss...?,"My mom takes both of these for the bone pain that she has from suffering Breast Cancer 3 years ago. It has literally made her a completely different person. She tells the same stories 3-4 times a day, forgets where she puts everything, and is unbearable to be around because she just acts so strange...she is addicted to these drugs and freaks out when her prescription needs to be filled about 2 weeks in advance and makes me take off of work just to make sure that I drive her to the hospital to pick them up and they get in her hands. She has panic attacks during that time...and she babysits my 2 year old almost every day. I am getting to the point to where I don't feel comfortable with her watching my daughter anymore. Does anyone know what the long term effects of these meds are, and should I be this concerned?","Tell her doctor about the side effects these medicines are having on her. The doctor will change the prescription or the medicine. Having a prior addiction will always make it more difficult to treat a person, so make sure the doctor knows of this condition.",Atavan and Methadone,,,,"My mom takes both of these for the bone pain that she has from suffering Breast Cancer 3 years ago. It has literally made her a completely different person. She tells the same stories 3-4 times a day, forgets where she puts everything, and is unbearable to be around because she just acts so strange",Former cancer patient is having memory loss,,,she is addicted to these drugs and freaks out when her prescription needs to be filled about 2 weeks in advance and makes me take off of work just to make sure that I drive her to the hospital to pick them up and they get in her hands.,Former cancer patient is having memory loss,,,,,,,,,,,,,,,,,"Yes: Does anyone know what the long term effects of these meds are,",Yes: should I be this concerned?,,,,,"Yes: Having a prior addiction will always make it more difficult to treat a person, so make sure the doctor knows of this condition.",,,
155,866029,My Boyfriend has Asperger's Syndrome. How can I accommodate for his needs?,His two therapists agree that he suffers from Asperger's and I have looked it up on Wikipedia.com but I was wondering if anyone had any advice or know of any good resources to help me make things easier for me to understand what he might be going through since he indeed has trouble expressing emotions. I want to be here for him as much as possible and understand the best I can so any and all help would be appreciated.,"You will need to sign up for this website, but don't worry it is free.
Read, read and then read some more. There is a world of information at your fingertips

My neuro is studying for a PHD here.",Asperger's Syndrome,,Female,,,,,,,,,,,,,,,,,,I have looked it up on Wikipedia.com but I was wondering if anyone had any advice or know of any good resources to help me make things easier for me to understand what he might be going through since he indeed has trouble expressing emotions.~~~,Asperger's Syndrome,,,,,Yes: How can I accommodate for his needs?,Yes:  I was wondering if anyone had any advice or know of any good resources to help me make things easier for me to understand what he might be going through since he indeed has trouble expressing emotions. ,,,,,Yes: but don't worry it is free.,,,
156,4260140,Is anyone farmillar with Asperger's Syndrome?,"A really good friend of mine was just diagnosed with AS.  I never really noticed anything differnt about her, I mean she's strange, unique really, but that's what makes her so cool.  I was wondering about what exactly AS is, what it intails, why I never noticed anything, what I could do to help/be supportive, what kind of treatments she might have to deal with, and such.  Also, she's almost 17 and I heard that most people are diagnosed before they're teenagers, like when they're little kids.  One more thing, what does As have to do with Autism/what are the differences?","Asperger's Syndrome is a mild form of Autism.  You said your friend was strange.  Those behaviors that make her strange are probably the symptoms of Asperger's.  She probably says things without thinking about the consequences of what she is saying.  She probably has some trouble with humor, tells jokes that really aren't funny or doesn't laugh at funny jokes until other people around her laugh.  She may display emotions that don't fit with the situation.  By the way, kids who have undiagnosed Asperger's are generally called weird by thier peers.  

She may start taking medication and will probably start counseling.  Ask her what she wants you to do.  She will know best how to be supportive.",Asperger's Syndrome,,,,,,,,,,,," I never really noticed anything differnt about her, I mean she's strange, unique really, but that's what makes her so cool.  ~~~",A really good friend of mine was just diagnosed with AS,,,,,,,,,,,,,"Yes: I was wondering about what exactly AS is, what it intails, why I never noticed anything, what I could do to help/be supportive, what kind of treatments she might have to deal with, and such. ; One more thing, what does As have to do with Autism/what are the differences?","Yes: what I could do to help/be supportive, what kind of treatments she might have to deal with, and such. ",,,,,Yes: Ask her what she wants you to do.  She will know best how to be supportive.,,,
157,1887825,"Do I have an arrhythmia, nervous system problem?","Six weeks ago I had a tachy brought on by lack of sleep (50 hrs) and taking in tons of caffeine (1600mg in 12 hrs).  I have been to tons of doctors, cardiologists, oncologists and have been through tons of tests.  The only thing they have found so far is a slight mitral valve leak.  This could not be causing my heart rate to jump from 60-65 at rest to 100-110 as soon as I stand up.  My heart races with minimal physical exertion and all they found with all these tests was a slight valve leak?  I bought a $50 heart rate monitor and found the 40 to 50 beat jump on my own.  I have told every doctor I have seen about this before testing it on my own and none of them has been concerned about it.  They are telling me that I am in perfect health and do not have an arrhythmia.  Could I have messed up my nervous system?  When my heart started beating really fast I thought I was having a heart attack and panicked.  I have read that going through trauma like that can cause this.  Thoughts?","You mention that you have seen several doctors and had several tests, but have you been to a Electrophysiologist ? This is a cardiologist who only specializes in diseases and disorders relating to arithmia's.While there may be several causes to your symptoms sometimes the only way to find out difinitavly what may be causing these fluxuations in your heart rate are two tests,one is what they simply call a tilt table test.simply put they strap you down to a table (only so you won't fall) and they monitor your vitals laying completly flat and start to tilt the table both forward and backwards (as if they were tipping you up side down)this is often done when your sypmtoms are caused when you go from sitting to standing.this could be caused also by a sudden drop in blood pressure from standing,the other test is is a Electrophysiology (E.P. Study)
The procedure involves inserting a catheter  a narrow, flexible tube  attached to electricitymonitoring electrodes, into a blood vessel, often through a site in the groin or neck, and winding the catheter wire up into the heart. The journey from entry point to heart muscle is navigated by images created by a fluoroscope, an x-ray-like machine that provides continuous, live images of the catheter and heart muscle. Once the catheter reaches the heart, electrodes at its tip gather data and a variety of electrical measurements are made. These data pinpoint the location of the faulty electrical site. During this electrical mapping, the cardiac arrhythmia specialist, an electrophysiologist, may instigate, through pacing (the use of tiny electrical impulses), some of the very arrhythmias that are the crux of the problem. The events are safe, given the range of experts and resources close at hand and are necessary to ensure the precise location of the problematic tissue.

Once the damaged site or sites are confirmed, the specialist may administer different medications or electrical impulses to determine their ability to halt the arrhythmia and restore normal heart rhythm. Based on this data, as well as information garnered before the study, sometimes the specialist will proceed to place an implantable cardioverter device (ICD) or a pacemaker or will perform radiofrequency ablation. In any case, the information proves useful for diagnosis and treatment.

Throughout the procedure, the patient is sedated but awake and remains still. Patients rarely report pain, more often describing what they feel as discomfort. Some watch the procedure on monitors and occasionally ask questions. Others sleep. The procedure usually takes about two hours. The patient remains still for four to six hours afterward to ensure the entry point incision begins to heal properly. Once mobile again, patients may feel stiff and achy from lying still for hours. 

I have several arythmia disorders that i was born with and have been through these tests litterally over 50 times in my life,and while it may sound scary and painful it isn't ,you will receive sedation and pain medicine.Plus the info they can learn from these procedures in some instances can be life saving.Now i'm not saying you may have something life threatning.it may very well be something as simple as anxiety related but if it is bothersome enough that it scares you as much as it seems to i think i would see one of these doctors just to be on the safe side.","arrhythmia, nervous system problem",,,,,,,,When my heart started beating really fast I thought I was having a heart attack and panicked.,my heart started beating really fast,,,,,,,,,,,,, I have told every doctor I have seen about this before testing it on my own and none of them has been concerned about it.  They are telling me that I am in perfect health and do not have an arrhythmia.  ,perfect health and do not have an arrhythmia,,,,Yes: When my heart started beating really fast I thought I was having a heart attack and panicked. ,"Yes: Do I have an arrhythmia, nervous system problem?",,,,"Yes: I have several arythmia disorders that i was born with and have been through these tests litterally over 50 times in my life,and while it may sound scary and painful it isn't ,you will receive sedation and pain medicine",,,
158,3793766,Am i losing my mind?,"Okay . . .I have had the following tests. MRI of head, CAT of abdomen. Numerous blood tests, inclusind HYpoglycemia, thyroid, diabetes, lyme disease and HIV. All come out normal. I have anxiety disorder and depression. however I am lightheaded or in a fog all the time. Sometimes I wonder if I am slowly losing my mind. I am sensitive to light and see auras sometimes. I feel off balanced and have been known to have vertigo, developed a nystagmus too. I often wonder if I am losing my mind. I have no motivation really. They put me on zoloft, I ve been on it for 3 weeks. It has made my Raynauds go away as well as most panic attack and some of the depression. But I feel zoned, tired, and lack motivation. I am seeing a shrink and my doctor. They want to switch me to Effexor but I am afraid! Am I losing my mind?","Your mind is right where its always been.  It sounds as if you have had excellent medical care, ruling out many possible causes for what you are feeling.  The foggy feeling from the Zoloft will likely go away in time and it sounds like its helped you a lot.  Effexor is also an excellent medication as it treats both depression and anxiety and panic with two different actions.  Phobia's about medications are common, but like any phobia, it is something you must overcome.  Each of us reacts differently to medications and the best thing to do is follow your doctors advice and keep them advised as to how you are doing.",anxiety disorder and depression,,,,"I feel zoned, tired, and lack motivation.",zoloft,,,They want to switch me to Effexor but I am afraid! Am I losing my mind?,Effexor,,,,,,,,,,,Sometimes I wonder if I am slowly losing my mind. ,anxiety disorder and depression.,,,,,,Yes: They want to switch me to Effexor but I am afraid! Am I losing my mind?,Yes: Am i losing my mind?,,,,Yes: Your mind is right where its always been. ,,,
160,4264435,Anger problem?,"Hi:) I think I may have an anger problem.  I am 31 years old and have suffered some pretty tough times. I was abused as a child in all catagories. No need to tell you the specifics I think you can figure it out! I was tormented every day. In school and at home. I got made fun of everyday at school because of my clothes. My mom was poor and on welfare. I remember having 4 pairs of jeans and 4 tee shirts. Not so long ago my mother died from a drug overdose as well as natural causes in which the drugs contributed. I was devestated. Could all these lead to they way I feel now? Everytime I see a wisper and someone looking at me I automatically assume they are talking about me and engage in serious confrontation! I am smart! But I can't seem to get my emotions under control! I was kicked out of the military with a broken hand from a boxer's fracture. They said I was unfit for military duty. I was discharged for a ""personality disorder"". I don't want sympathy, Just want to be happy!","This is a very good blog, a beginners guide to abnormal psychology. 
Short, clear and simple; and you can even post your question and contact the author regarding particular subject you are interested in

http://sensitive-psychoworld.blogspot.com/",Anger problem,,,,Not so long ago my mother died from a drug overdose as well as natural causes in which the drugs contributed. I was devestated.,my mother died ,,,,,Everytime I see a wisper and someone looking at me I automatically assume they are talking about me and engage in serious confrontation! ,talking about me,,,,,,,,,,,,,,,,"Yes:  I don't want sympathy, Just want to be happy!",Yes: Could all these lead to they way I feel now?,,,,No,,,
162,3523331,Understanding son's peanut allergy?,"My husband and I have an 18 month old son who is allergic to peanuts.  How do I get our extended family to understand the severity of his allergy without hurting anyone's feelings?  They all try to feed him and offer him fluids of different things w/out first having knowledge of the products ingredients, etc.  We had it set that no one is to feed him but us, but at our sister's wedding everyone seemed to forget or ignore this.  No one acts like they understand he could die from a reaction.  Our Grandmother said she could pick noodles  (w/unknown ingredients) out of a salad for him to eat.  I was blown away for, I have told her many times of cross contamination.  I am now terrified to ever leave him in anyone else's care.  Please help","You have every right to be nervous. In this type of allergy even the fumes from peanuts, almonds or any nut can be fatal, an allergy is not dose dependant meaning it does not matter how much peanut but simply the presence of them. You have to do what you are doing and take charge because everyone else does not understand and that can be fatal. I hope you have all the antihistamines, and an Epi-pen on hand just in case he does eat peanuts. This will provide a window of time to get him to the ER. In time your son will be old enough to take care of himself, if others around you are so dense, then keep them away from your son. I heard a story about a kid who was extremely allergic and ate a piece of cake with no nuts, but the knife used to cut his cake was used on another cake that did have peanuts. He ate his cake and died, this is not joke a very serious condition. Take care and stand up to the idiots.",allergic to peanuts,,Female,,,,,,I am now terrified to ever leave him in anyone else's care.  ,son's peanut allergy,"Our Grandmother said she could pick noodles  (w/unknown ingredients) out of a salad for him to eat.  I was blown away for, I have told her many times of cross contamination.",son's peanut allergy,,,,,,,,,,,,,,,Yes:  How do I get our extended family to understand the severity of his allergy without hurting anyone's feelings,Yes:  I am now terrified to ever leave him in anyone else's care.  ,,,,,Yes: You have every right to be nervous.,,,
164,3809465,"Weird, Unexplained Symptoms?","My grandmother recently has been experiencing a rapid heart rate (about 110-120), slight dizziness, and unexplained tiredness. We have ruled out heart attack symptoms since there are no shortness of breath or chest pain symptoms, but she does have an esophagus problem (ulcer) and an ulcerative colitus in her small intestine. Please help any way you can, as this has been going on for about 2-3 days, 4 days tomorrow. Thanks in advance!","i would take her back to the doctor, when ;you say we, do you mean the doctor? if not, then dont rule out anything, heart attack symptoms vary.   she could also be low on iron, or  any number of things, i wouldnt wait.","a rapid heart rate (about 110-120), slight dizziness, and unexplained tiredness.",,,,,,,," My grandmother recently has been experiencing a rapid heart rate (about 110-120), slight dizziness, and unexplained tiredness. ",Unexplained Symptoms,,,,,,,,,,,,,,,,,,"Yes:  Please help any way you can, as this has been going on for about 2-3 days, 4 days tomorrow. Thanks in advance!",,,,,Yes: i would take her back to the doctor,,,
165,3854886,"Is the fumes caused by a flame retartant proccessed in an plastic, bad for your lungs ?","I work in a plastic extrusion plant and the other day, I lost my breathe and began to cough until I vomited.  The cause was from a flame retardtant that was used in the process of extruding a engineered plastic via a 600 degree F machine.  A problem occured with the machine and the results were a powerful smokey gastic fume.  I ended up with a major headache and a sore throat.  It caused me to become concerned for my health so I am inquiring.  Thank you much.","Having worked in the plastics industry for nearly 20 years, I know for a fact that just the plastic alone is poisonous when heated to beyond the melting point or the flash point. It may not have been the flame retardant at all. Caustic fumes from overheated plastic produce the same symptoms.",a major headache and a sore throat,,,,,,,,  It caused me to become concerned for my health so I am inquiring. ,fumes caused by a flame retartant proccessed in an plastic,,,,,,,,,,,,,,,,,"Yes: Is the fumes caused by a flame retartant proccessed in an plastic, bad for your lungs ?",Yes:  It caused me to become concerned for my health so I am inquiring. ,,,,,Yes: Having worked in the plastics industry for nearly 20 years,,,
166,743030,couldn't get my answers so here we are again I need a cure for curled toes or a name for a bandage thats worn,my daughter does not wear inappropiate shoes but her toes are curled up i did not worry about them when she was a baby because as far as i was concerned they are the stamp of her fathers. which obviously is not appreciated by a woman of her tender years. and i personally wouldn't like them on the end of my legs. i am and would be very grateful for some decent uncriticalism based anwers. that can genuinely help. Thank you for taking the time to read this i hope you can help.,"I'm not sure exactly what the problem is but I will give you some info I found that you can pick through.  I hope it helps!
In general, the term ""hammer toe"" describes a buckling of any of the toe joints. Joints at the end or middle of the toe, as well as the joint near the ball of the foot, may be affected. Toe joints usually curl because of a muscle imbalance or tight tendons. Hammer toes vary in severity and in the number of joints and toes involved.

Types of Hammer Toes
Hammer toes may be flexible or rigid, depending on the joint's ability to move. A flexible joint may become more rigid as you age.The doctor will examine all your toes, testing whether or not buckled joints can be moved. Your feet will also be checked for any skin changes. Corns (a buildup of dead skin cells) often form between curled toes or on top of buckled joints where shoes rub. If irritated, corns may turn into open wounds and become infected.If your symptoms are mild, changing shoes may be all the treatment you need. If your symptoms are severe, surgery may be needed. The type of procedure often depends on whether your toe joints are flexible or rigid.

Unfortunately, from what I read, it sounds like the only treatment is surgery (since you said it wasn't her shoes).  Good luck!",a cure for curled toes or a name for a bandage thats worn,,Female,,,,,,,,,,,,when she was a baby because as far as i was concerned they are the stamp of her fathers. which obviously is not appreciated by a woman of her tender years. and i personally wouldn't like them on the end of my legs.,curled toes ,,,,,,,,,,,Yes: couldn't get my answers so here we are again I need a cure for curled toes or a name for a bandage thats worn,Yes: which obviously is not appreciated by a woman of her tender years. and i personally wouldn't like them on the end of my legs. i am and would be very grateful for some decent uncriticalism based anwers. that can genuinely help. Thank you for taking the time to read this i hope you can help.,,,,,Yes: I'm not sure exactly what the problem is but I will give you some info I found that you can pick through.  I hope it helps!,,,
167,820266,I have just been diagnosed with a connective tissue disease (lupus). Can I claim disability living allowance?,"I applied in July & was knocked back but since then I have had a diagnosis & my knees have got a lot worse with lupus arthritis & I can't walk without being in a lot of pain. I phoned the DWP to inform them of the new information but I was told they don't consider the illness, just the effect it has on my ability to walk. I told her I can't walk without being in pain but she basically said I still have the ability to walk so in their eyes things haven't changed since July. It's going to the decision maker again anyway but it does not sound promising at all.
Any advice on tackling these people would be much appreciated!","The criteria is that if u cannot walk (think its 25 yards) then u r eligible, but check this out.  I would say u wld be entitled to it from what u have said.  Have a word with yr gp, he/she will know and they will always help u and sign yr form.  Good luck.  The CAB will always help u too to fill in the appropriate forms.  Dont be deterred from what the call centre tells u, go ahead.  The form is pretty horrendous, its like a book!!  But do go for it, u r entitled to it.",a connective tissue disease (lupus),,,,I have had a diagnosis & my knees have got a lot worse with lupus arthritis & I can't walk without being in a lot of pain.,onnective tissue disease (lupus),,,,,,,,,,,,,It's going to the decision maker again anyway but it does not sound promising at all.,disability living allowance,,," I phoned the DWP to inform them of the new information but I was told they don't consider the illness, just the effect it has on my ability to walk. I told her I can't walk without being in pain but she basically said I still have the ability to walk so in their eyes things haven't changed since July.",disability living allowance,,,,Yes: Any advice on tackling these people would be much appreciated!,,Yes: I have just been diagnosed with a connective tissue disease (lupus). Can I claim disability living allowance?,,,"Yes: Dont be deterred from what the call centre tells u, go ahead.  The form is pretty horrendous, its like a book!!  But do go for it, u r entitled to it.",,,
0,3577520,I have a friend that I take care of with breast cancer and she's been battling it for 3 yrs. I was wondering..,"if anyone else may give feedback on this.  She had a bad infection and they removed lymph nodes, i'm packing the wound for her everyday and sh's on antibiotics.   What is the longest time you may know of someone who was battling this horribly awful torture.  She is handling it better than me and never really complains.  I guess as I sit here and cry,  I just need to talk to someone.  She is a good friend and this hurts.  this is her 3 rd  year.  Thanks for reading and answering, any and all advice greatly appreciated.","My mother was diagnosed with breast cancer in 1990.  She battled it, and won.  She had lymph nodes removed as well as a total masectomy.  Along with 6 months of chemo.  Unfortch her cancer recurred in 1998.  This time in her bones.  She battled bravely again, with weekly chemo for 5 solid years.  Eventually it spread to her brain and she had radiation.  She had(yes, I am sorry 'had')a great life from her initial battle in 1990 until cancer finally took her from us in 2003.  She saw both her daughters marry and met one grandson.  She and my dad traveled and were together.  Just give her the best you can.  Be there for her, talk to her.  I know it hurts, believe me, I know.  My mom was only 53 when she passed.  I believe she always handled it better than we did.  I never once saw her be scared.  I wish you and your friend all the best.  Good luck!",breast cancer,,,,What is the longest time you may know of someone who was battling this horribly awful torture.,a friend that I take care of with breast cancer and she's been battling i,,,,,,,,,,,,,,,,,,,,,,"I guess as I sit here and cry,  I just need to talk to someone.  She is a good friend and this hurts.",,,,,"Yes:  I know it hurts, believe me, I know.  ",,,
1,2437921,"My last question was the first part of my problems.. PLEASE CLICK ON THIS QUESTION, I need your help/advice...","Not only does my fiancee have cirrhosis of the liver (genetically, no hepetitis or alcoholism), I have been having a lot of abdominal spasms lately. I am 7 months pregnant, TRULY depressed and completely stressed out by all of this, and I work a full 12 hour job as a manager of a large portion of my company. For the past 2 days I have been having sudden cramps/spasms in my lower stomach. We've been to the doctors numerous times about my fiancee, who is so weak and frail right now... I haven't brought up how I've been feeling lately. Yeah, I know, stupid idea... but HONESTLY, what the hell would you do???? My fiancee is gravely ill and yeah, I'm pregnant, but I can't do this without him! OMG, I'm crying and in pain right now and with all I have been doing and keeping up for the past several months, I can't even deal with what could be wrong with ME now! This is my first pregnancy and I am REALLY naive, but I'm dealing with the love of my life right now, my needs are second... right?",ok first off i know its hard but you have to calm down. the cramping and such will cause you to go into labor. Im sorry about your fiance and will pray he gets better. go to your dr and tell him all that is go8ing on matbe he/she can help,abdominal spasms,,Female,,TRULY depressed and completely stressed out by all of this,having a lot of abdominal spasms lately.,,,"My fiancee is gravely ill and yeah, I'm pregnant, but I can't do this without him! OMG, I'm crying and in pain right now and with all I have been doing and keeping up for the past several months, I can't even deal with what could be wrong with ME now! This is my first pregnancy and I am REALLY naive, but I'm dealing with the love of my life right now, my needs are second... right?","My fiancee is gravely ill and yeah, I'm pregnant,",,,,,,,,,,,,,,,,,,"This is my first pregnancy and I am REALLY naive, but I'm dealing with the love of my life right now, my needs are second... right?",,,,,Yes: ok first off i know its hard but you have to calm down. the cramping and such will cause you to go into labor. Im sorry about your fiance and will pray he gets better. go to your dr and tell him all that is go8ing on matbe he/she can help,,,
2,2727267,Seeing double when tired or walking! Any idea?? HELP!!!!?,"Problem worsening over 11 years now. At first, it was happening after exercising (surfing). Now, even while walking slowly in the street, I see completely double, but when I move my neck high and slighly to the right while keeping my sight focused one one spot, my vision becomes better by more than 50% only for a few seconds, then again.... And if I move my head left and right while my neck is up I get this tickling feeling in my right eye, very funny, but it's true. This situation is really killing me, I became so desperate. I was diagnosed  with Multiple Sclerosis, but fluid from my spinal cord showed negative results and I don't believe I have M.S. I believe it's more in the neck!! But what? Is it maybe Carotid Artery? Or is it a problem in the neck? I also have 24/7 numbness in my left palm which disrupts my keyboard playing (being a musician). I can't control some movements in my left fingers. Any idea of what's happening to me? Has anyone experienced the same or almost? HELLLP","could be a slight lazy eye, talk to your eye doctor and he will prescribe some glasses to fix that up",Seeing double when tired or walking,,,,"This situation is really killing me, I became so desperate.",Seeing double when tired or walking!,,,,,,,,,,,,,,,,,"I was diagnosed  with Multiple Sclerosis, but fluid from my spinal cord showed negative results and I don't believe I have M.S.",diagnosed  with Multiple Sclerosis,,,But what? Is it maybe Carotid Artery? Or is it a problem in the neck?,Any idea?? HELP!!!!?,,,Has anyone experienced the same or almost? HELLLP,,No,,,
3,39086,Do I have reason to feel overly stressed?,"In last 2 weeks my dad came to live with me so I can do hospice in his final days of liver failure, my husband had surgery to see if he had cancer, it wasn't but they don't know what it is yet. Today someone ran into me in the parking lot (his fault)
My house is a mess. I work full time and have 2 teenage daughters. This may sound stupid but I can't think clearly now and I really need sincere answers to help validate that I'm normal in feeling really, really stressed out or am I being sensitive. I really know it could be a whole lot worse. My nerves are raw!
Guess I just need to vent. Thanks for listening.","Wow, that sounds really stressful. Bless your heart, I'll say a prayer for you. Yes you have all the reason in the world to feel stressed. You are 100% normal, and not insensitive at all. On a deeper level, the stress is the combination of all of your emotions at this moment, feeling overwhelmed, scared, confused, helpless, and stress is just the end result. Just know that this, too, shall pass, count your blessings, and enjoy the ones you love.","really, really stressed",,Female,,This may sound stupid but I can't think clearly now and I really need sincere answers,Do I have reason to feel overly stressed?,,,,,My nerves are raw!,"In last 2 weeks my dad came to live with me so I can do hospice in his final days of liver failure, my husband had surgery to see if he had cancer, it wasn't but they don't know what it is yet. ....My house is a mess. I work full time and have 2 teenage daughters.",,,,,,,,,,,,,,,,Guess I just need to vent. Thanks for listening.,"I really need sincere answers to help validate that I'm normal in feeling really, really stressed out or am I being sensitive.",,,,"Yes: Wow, that sounds really stressful. Bless your heart, I'll say a prayer for you. Yes you have all the reason in the world to feel stressed. You are 100% normal, and not insensitive at all. On a deeper level, the stress is the combination of all of your emotions at this moment, feeling overwhelmed, scared, confused, helpless, and stress is just the end result. Just know that this, too, shall pass, count your blessings, and enjoy the ones you love.",,,
4,3899904,Are depression and vision problems related?,"I have vision problems: floaters in my right eye that move across the vision field, halos around lights, difficulty distinguishing color shades especially at night , burning eyes, dizziness when i look at moving images. Basically my vision is always like someone just tried to blind me with a light minutes ago. I also have balance problems, left nipple discharge, candida yeast infection, pressure in my nose, tight neck, upper back pain that shoots into my right arm when I try to move my head to the right, horrible headaches, always bloated, nausea, inability to concentrate AT ALL, hot flashes and twitches accross my body. I am always incredibly tirred and without breath after climbing a couple of stairs. This has been going on for the last 4 months. It all started suddenly with a bout of double vision that lasted for about an hour - vision not corrected 100% after that and incredible fatigue. I am 23, female and this is killing my life plans - supposed to go for masters. HELP ME PLEASE.",You should brief your doctor exactly as you have stated your problems on the net.  I am sure he can help you. You are depressed because of the vision problem.  Depression has no connection with vision problems.,vision problems,18-24 years old,Female,,this is killing my life plans,vision problems,,,,,,,,,I am always incredibly tirred and without breath after climbing a couple of stairs.,tirred,,,,,,,,,,,Are depression and vision problems related?,this is killing my life plans - supposed to go for masters. HELP ME PLEASE.,,,,,Yes: You should brief your doctor exactly as you have stated your problems on the net.  I am sure he can help you. ,,,
5,2082844,"What can I do to make my neck stop popping and cracking all day, especially when i move it from side to side?","I was in a bad car accident shortly after September 11th.  I suffered from whiplash, and ever since then, my neck pops and cracks loudly when I move my ears towards my shoulders.  It feels like my neck is locking up, and I have to pop it to release the pressure.  I have seen chiropractors, and it helped, but my neck seems to always go back.  They said is was due to torn ligaments that healed incorrectly, and now my spine is out of adjustment.  This is a very frustrating problem, and I am tired of living with this uncofortable dull pain.  Is there any type of surgery or maybe something else that could fix this problem?  Thanks - a guy in pain.","see a neurologist..............
not some  duck chiropractor who may do far more harm than any good.

Neurologist can determine from mri's and testing exactly what damage has been done..
you can end up...with severe spinal damage resulting in nerve damage that no doctor can help if you don't get the right treament and chiro don't know diddle about nerve damage and spinal cord and cervical fusion,",type of surgery or maybe something,,,,"This is a very frustrating problem, and I am tired of living with this uncofortable dull pain.",my neck pops and cracks loudly when I move my ears towards my shoulders.,,,"They said is was due to torn ligaments that healed incorrectly, and now my spine is out of adjustment.",my neck pops and cracks loudly when I move my ears towards my shoulders.,,,,,,,,,,,,,,,,,Is there any type of surgery or maybe something else that could fix this problem?,"This is a very frustrating problem, and I am tired of living with this uncofortable dull pain.",,,,,Yes: see a neurologist..............,,,
